t,P
0,0.45522323602883946
2,1.9679679230333325
4,1.7363084263618918
6,3.3130476593425024
8,4.049734348051297
10,2.366195357446303
12,3.1221269596521837
14,1.7748144298571138
16,2.669396054518348
18,3.907574261158805
20,2.872726228819289
22,3.351911109708017
24,3.526831695593385
26,2.1084417086741403
28,3.6744269914051864
30,3.670559127209537
32,2.6756299343734993
34,3.370880894960556
36,4.145290827051071
38,2.511344949550142
40,3.1684598838754012
42,3.2026534068600716
44,4.150362050174738
46,3.097933697834021
48,3.055548797973531
50,2.9474768474872857
52,2.9348344049893362
54,2.165642254144399
56,1.6806364477327282
58,4.137588549202068
60,2.571703349886496
62,2.5911315597111395
64,3.3963980121172748
66,2.465574951379322
68,3.188142443022608
70,4.009982435437277
72,2.3019878191829015
74,2.964096434510944
76,4.714087111142601
78,2.546198087387669
80,3.2685859681181304
82,3.9549527562100026
84,3.360999863160433
86,3.206393994653725
88,3.0560998559484047
90,3.501456238310355
92,3.9916982243126715
94,3.4244520167106454
96,3.5745811933127896
98,3.1617887497365795
100,3.044707336081574
102,2.252554754859731
104,4.235631703050958
106,2.374377561756054
108,2.6323543789674475
110,2.7919629090388796
112,3.1205245318302315
114,2.2997803934828194
116,2.4664273572872517
118,3.357211314690541
120,2.7445697868035825
122,2.4438997619062732
124,3.5337910636816003
126,2.905684178105924
128,4.065343779180726
130,3.521122316839835
132,2.7513978731597963
134,2.8758913128953814
136,2.0974847998680204
138,2.5585639463562333
140,3.3950061171321475
142,2.7983505000145548
144,3.11471055199772
146,2.8887483301428487
148,3.450640476803312
150,2.9383598153402657
152,2.3463303707278653
154,3.7884210738521715
156,2.0192051132138684
158,3.1517323046658334
160,3.312770293044656
162,2.300094344346161
164,2.46297903662306
166,1.5984239793891726
168,3.5618310292201976
170,2.8020013275290383
172,4.024725946746692
174,3.2560889806436206
176,2.6303246010859573
178,4.149347692276427
180,3.9526342307876705
182,3.4882869852156837
184,2.7527014314069977
186,3.024458331331998
188,2.7500495225864587
190,4.289312898296669
192,3.2628532064730864
194,2.356418326950779
196,3.2946781565111483
198,3.4019545145030134
