t,P
0,0.0
2,86.72174310789465
4,163.4385642537085
6,235.5205510214316
8,300.14810081258435
10,360.28513946769317
12,415.0616546571688
14,464.4497993947835
16,510.22623462290966
18,552.2238315020456
20,591.8922362004098
22,625.535924517063
24,658.4445327501035
26,686.9405490096731
28,714.2969635953815
30,738.257545414202
32,760.2230682369138
34,780.5411768534179
36,799.0202626824907
38,818.8829157480666
40,833.1409619127265
42,847.8771338671332
44,859.6568728293931
46,872.1491793858971
48,883.1752076945673
50,894.2359266334793
52,902.0176738671424
54,909.2979759986614
56,917.6597592143172
58,925.3438503096493
60,931.963838423527
62,936.72674256928
64,942.7476564113862
66,948.2383054998356
68,952.1037717264828
70,957.1220833453646
72,959.3554157454901
74,963.1508254965786
76,967.3192298108492
78,967.4340050613657
80,972.0683893618011
82,974.3548427988733
84,977.0652903307304
86,978.8360892896112
88,980.4491042256769
90,981.6025977011747
92,984.2275046323766
94,984.391518533777
96,986.8590330094554
98,987.2071180357424
100,988.9889499456048
102,989.8218886007262
104,990.3602429323901
106,992.2119985470217
108,991.6711723991968
110,992.3462062269339
112,993.470363154167
114,994.7173264421766
116,995.0275773547841
118,995.7276454848659
120,995.2282555473327
122,996.0580233103102
124,995.8148599582996
126,996.0950087683857
128,996.0664399836141
130,996.7105124043034
132,998.339810739667
134,998.1570271482352
136,997.8720325754306
138,999.1833165346819
140,998.9336023018687
142,997.826053015918
144,998.6503234941931
146,998.6709229116796
148,998.963250716125
150,998.0893118990894
152,999.2695824752388
154,998.0646043905494
156,998.5082070866401
158,998.4035432724968
160,998.2062296197929
162,999.945476509003
164,999.1714221056159
166,1000.4025392256309
168,999.0525855023067
170,999.1533907988994
172,1000.6614664874885
174,999.3214749975549
176,1000.7360622282874
178,1000.232534467841
180,1000.5693684332091
182,999.7212017176363
184,999.1443742649589
186,998.8283780616371
188,999.4583840646623
190,998.2083889402645
192,999.7712866864089
194,998.7917333957247
196,999.5193461922919
198,999.8530076115836
