t,P
0,0.0
2,1.1488155955384212
4,1.163803140628634
6,2.1711435204334175
8,2.181546690051158
10,3.1317832326946675
12,2.6994436237031914
14,3.318365964936048
16,5.109769134081302
18,3.832867716874311
20,4.391029490415301
22,5.387748737996777
24,4.504334783470576
26,6.767331364833616
28,7.517091025223874
30,6.443144844473042
32,6.314572964368659
34,7.727396293292958
36,8.438629580804244
38,8.742485957548265
40,8.812266195285662
42,8.405477858044437
44,10.221043548351389
46,10.447339893660196
48,11.07703035118886
50,11.530464092757445
52,11.726404985981963
54,12.141396496735648
56,11.49896232415952
58,11.45436753419761
60,12.344825689757874
62,14.038524452760381
64,13.916543710611915
66,12.8563903102601
68,13.338839403905503
70,15.070820578367899
72,14.099734508652976
74,15.606666470229072
76,16.148306340034065
78,15.497897951379969
80,15.157940304279458
82,18.040320043266334
84,15.697614038917816
86,16.93277451840248
88,15.706461457871358
90,17.482781659372876
92,16.84789586076638
94,16.47072804199495
96,18.970653983309237
98,18.208520630387888
100,17.701074147913115
102,18.74275709922273
104,19.38234115735566
106,19.19061417519071
108,18.09991343599569
110,20.74006348476308
112,18.77684602642385
114,19.80713205320077
116,18.530497269469866
118,19.603500792929328
120,20.379089780148767
122,20.389177201529904
124,19.13814389656518
126,20.450587643495485
128,20.70784999547532
130,21.212087976497347
132,21.089373952711725
134,20.61864820377092
136,21.730658255703958
138,20.832682011497837
140,21.864083902094794
142,21.751212710284406
144,21.973237823365515
146,21.935799196418646
148,22.07530375889089
150,23.067612674458857
152,22.300199244428196
154,23.153584067472007
156,23.29479679520959
158,22.2209917633191
160,21.85608494200933
162,23.131456139492503
164,23.442354261698664
166,23.002191294998404
168,24.008773145981298
170,23.887630295202282
172,23.426555885675366
174,23.546111440963003
176,22.869362208144537
178,23.325882026434684
180,25.36213075420929
182,24.58358096338762
184,23.762543269785038
186,25.103375842304462
188,24.180960540998583
190,23.077946540438745
192,24.395221900305824
194,25.31914973131481
196,25.082377226268758
198,26.005848373855343
