t,P
0,0.0
2,65.126155802993
4,116.54090460736194
6,156.66091252944094
8,186.52534251193703
10,212.62651886612957
12,230.38728392073338
14,245.78135980639277
16,258.23180585790215
18,266.43089681317446
20,274.16337133223317
22,280.1108625287074
24,284.81917568414514
26,289.2915389616708
28,292.1827438091858
30,291.5406912854402
32,294.1607899594475
34,294.4620818667155
36,295.04046313127446
38,296.19524330085545
40,297.27944626672274
42,296.5445417686616
44,299.4698246863161
46,299.61696101931767
48,299.2432841325319
50,299.3913753041466
52,300.17412065902295
54,299.036365462694
56,299.8256120486192
58,301.2072167454915
60,298.39853103496904
62,300.0945191681462
64,300.61385855689343
66,298.8980314859744
68,299.6206803683368
70,300.82854327478896
72,299.43009995925746
74,300.31179878630365
76,300.04973395740933
78,299.766619082521
80,300.1730966773418
82,299.72144250000355
84,299.7942407331689
86,299.8150811571766
88,299.6274562239456
90,299.7928275283573
92,300.3432336437122
94,300.34957252372556
96,298.98161152813907
98,300.8435796969261
100,299.84691985189676
102,300.7026661103112
104,300.46012747803616
106,299.60400304290835
108,300.767469337794
110,299.8755451719368
112,300.52126164536196
114,300.4446769335471
116,300.588302635437
118,300.1901712968751
120,299.76049577718925
122,299.9524840607347
124,299.800277277936
126,299.5533336524898
128,299.93592528426376
130,299.3763023343573
132,300.415296461935
134,300.27359722300656
136,299.72272469105906
138,300.3500749604142
140,299.50054812568345
142,300.7725396335859
144,299.6679511088924
146,300.73992572816167
148,299.1753743882404
150,299.8080750871007
152,299.165343610439
154,299.4756505962389
156,298.41734581233453
158,299.8422155448712
160,300.3726181325838
162,299.6211565652657
164,299.65599796266355
166,299.8675579130961
168,299.558669792823
170,298.71910061838645
172,299.0151706229144
174,299.39538156467336
176,300.2707822505854
178,300.23003383577424
180,299.2937009536516
182,299.79486456336093
184,300.95500762892897
186,299.6820203746693
188,300.16753251682854
190,299.91629230323014
192,300.98650891967185
194,300.54342930348105
196,299.48619266634205
198,299.1518403355473
