t,P
0,0.00043950748111981793
2,0.24668293516354362
4,0.0
6,0.0
8,0.0
10,0.0
12,0.0
14,0.3122998942356317
16,0.1834732027023802
18,0.3981960764806324
20,0.840944153216918
22,0.0
24,0.6403705975486446
26,1.059254805630848
28,0.0
30,0.0
32,0.004055638881388282
34,0.0
36,0.7413342161768317
38,0.0
40,0.0
42,0.0
44,0.4676331576721525
46,0.17804017952870452
48,0.0
50,1.138891278989308
52,0.5135952200048575
54,1.5705911855901806
56,0.558909157472465
58,0.6722989144102829
60,0.0
62,0.0
64,1.630769833770123
66,0.3624339198750457
68,0.3552305032672254
70,0.0
72,0.043325867170497245
74,0.0
76,1.1702995872425703
78,0.0
80,1.6713126347040823
82,0.5850122534589499
84,1.311352783725432
86,0.1382220735781769
88,1.263036977607249
90,0.7965059048640908
92,0.0
94,0.6035539019015259
96,0.0
98,0.3537801418588424
100,1.2744080191716893
102,1.7102989182249115
104,0.4592863658670469
106,0.28162456557563414
108,0.0
110,1.5707910818763462
112,0.9056698529465432
114,0.0
116,0.4629259523026895
118,0.5554844203534564
120,0.1599015027006038
122,1.2515474823609725
124,0.0
126,0.0
128,0.8390553868187682
130,1.407015180920343
132,0.5994369637725269
134,0.6851813008008453
136,0.2516673018444438
138,0.04347532720182068
140,0.6288805219580897
142,0.5610700462086659
144,1.177441112325415
146,0.5290414759489759
148,0.2521221650784585
150,0.0
152,0.0
154,0.21154349603591766
156,0.28303926706094806
158,1.2539952309326954
160,0.0
162,0.0
164,0.48972216796082113
166,0.0
168,2.9167806941897036
170,0.0
172,0.8548453769112245
174,0.9414220958459177
176,1.223720693668303
178,2.132841582784524
180,0.0
182,0.13458813916262824
184,0.7275843947420021
186,0.0
188,0.43186542413310003
190,1.0663646113021814
192,0.8418508419544928
194,1.5382231780070428
196,0.0
198,0.2750785242642671
