t,P
0,0.0
2,75.25670837338781
4,120.04122598454975
6,148.27444833554344
8,166.78312311944848
10,179.01244873540116
12,186.79399365975573
14,191.84638082066544
16,195.3058387153676
18,196.1402444876842
20,198.45482333953345
22,197.90080339689322
24,198.5728112823376
26,200.20750715121264
28,199.2605391672486
30,201.4162222370405
32,200.46163778807707
34,199.70933022125567
36,199.50695350671475
38,199.19554022141125
40,200.09315222554588
42,200.08227447652945
44,200.4796390828573
46,199.25673227043802
48,200.08405309090472
50,200.24198476358885
52,199.4299640130028
54,199.6413017046541
56,200.781414841964
58,200.43646853935962
60,199.98661749195244
62,199.48213068905042
64,199.3856252605771
66,199.9449913535945
68,200.45482221313435
70,200.32429853320323
72,200.015686336893
74,199.80474467147383
76,200.3552866217177
78,199.89443929366206
80,200.10449214915343
82,199.9216559316367
84,200.72345667439626
86,200.35567541993998
88,199.26651937730765
90,201.28864382024858
92,199.56486850534466
94,200.398090644462
96,199.903077827536
98,199.62789723158852
100,200.36947710811154
102,198.72928509775028
104,199.91134661694116
106,200.71791415815255
108,199.67770616495196
110,199.61290470261736
112,199.62535650357887
114,200.49558704013018
116,200.77709197825806
118,198.85649969819767
120,198.97036913091094
122,200.959019506584
124,199.89370072474327
126,198.4755029222172
128,199.4138672529355
130,199.59752960943158
132,201.70014463357384
134,199.2064355203838
136,199.3430326496433
138,199.9677781751597
140,199.79109240671113
142,201.05521920819353
144,199.73950803519543
146,200.3811359956791
148,199.41073315961017
150,200.14841817359695
152,199.97327652347474
154,199.24029034191622
156,199.42262104136688
158,200.00632434077824
160,201.50696278150514
162,199.7227305125899
164,198.72190829894652
166,200.0187625266267
168,198.9628344050549
170,199.51082112457843
172,200.4990542204606
174,200.29061452955315
176,201.32548415406848
178,198.69645194158485
180,200.0049830907788
182,199.24127090905117
184,200.14854056880284
186,200.2192645763827
188,200.81385813443202
190,200.12102686333387
192,198.0395766627303
194,200.0053008420817
196,200.16628177157043
198,200.48515070543291
