,temperature,buffer,protein
0,300.0,4.765052964366602,5.286295843733391
1,300.5,5.81281329746625,6.541707018488067
2,301.0,6.154810161802936,6.64660692656996
3,301.5,5.287682315811358,5.822288109256105
4,302.0,6.572977921373779,6.435317860262595
5,302.5,6.934974164130608,6.640741207198352
6,303.0,5.665027918478071,6.27468605433296
7,303.5,5.750113717415595,6.665679035646565
8,304.0,6.715278186969621,6.874167649802085
9,304.5,7.375166349830793,6.459842562221009
10,305.0,6.284797656679275,7.2668804079173945
11,305.5,6.025898629816634,7.701728825347745
12,306.0,7.1067253200278016,7.429973856261799
13,306.5,7.532146200701859,6.583438152706661
14,307.0,7.556220872091058,7.718190085065806
15,307.5,7.474571479884072,5.5220245101519705
16,308.0,7.55452464381911,7.211693354756532
17,308.5,7.804675637088255,7.426098056259081
18,309.0,7.912708488804599,8.384416639543836
19,309.5,7.78464547655306,8.180623974079843
20,310.0,8.01364244540569,8.003412811730433
21,310.5,7.588377466539205,8.822737738114382
22,311.0,8.637824732695334,8.704547643621613
23,311.5,8.091191042005368,8.004328818520584
24,312.0,9.346905218714348,8.47023085379429
25,312.5,8.873060168723276,8.464293111667669
26,313.0,8.344004605061478,9.241971662766439
27,313.5,8.432641257469504,9.033652489215052
28,314.0,8.293696503208503,9.125388915374
29,314.5,8.741148601446396,8.528799984116459
30,315.0,8.516541763040319,8.75592889252414
31,315.5,8.868350312382143,8.953272929783319
32,316.0,8.649317115109179,9.09584766584068
33,316.5,9.99124278877951,8.838243870846478
34,317.0,9.324812336098299,9.396085377063141
35,317.5,8.70015283245485,8.891591316165613
36,318.0,9.964560890992475,9.443875665386415
37,318.5,9.367164194805804,9.11142274626035
38,319.0,8.667785216632003,8.976106265053557
39,319.5,9.436356677908151,9.930857685712635
40,320.0,9.446342165396421,9.128102722717225
41,320.5,8.69966337645365,10.02339388297863
42,321.0,8.541962223079505,10.61945730215332
43,321.5,11.028883583325904,9.440491917401879
44,322.0,10.075891479590567,9.58050602146975
45,322.5,9.937909302844046,9.841100706801512
46,323.0,9.581001200398038,9.580347774072333
47,323.5,9.155067809682492,10.170760857841122
48,324.0,10.538863877579416,10.356301057830523
49,324.5,11.075944350749412,9.024055348087453
50,325.0,9.382239616440451,9.26308587991801
51,325.5,9.873292237838639,10.420626775191828
52,326.0,10.22488722248631,10.352393927969407
53,326.5,9.855505333260114,9.29058934137147
54,327.0,10.122136522608525,10.117529190960958
55,327.5,9.672349146512323,9.764271535632899
56,328.0,10.222678763937726,9.674666467937753
57,328.5,10.721100584267369,10.488386971208143
58,329.0,9.775415561296821,9.325704555095777
59,329.5,9.813519957152385,9.533822689630792
60,330.0,8.991257256231554,10.91590908172899
61,330.5,9.983379657481727,10.731047502323905
62,331.0,9.19915221869128,10.381662547950635
63,331.5,11.074385295078095,9.88291082516834
64,332.0,10.09145638465386,10.389130245036613
65,332.5,9.40513680997302,10.203408028192387
66,333.0,9.747091914932449,10.632635100679408
67,333.5,10.182964033114335,9.179603870210004
68,334.0,9.387734725932983,10.052977533590921
69,334.5,10.292182293562805,9.805813412802692
70,335.0,9.545436824167554,10.106286588855236
71,335.5,10.79671227394076,10.141945079275075
72,336.0,10.370576829141879,9.698393170837594
73,336.5,9.104751070272375,9.671760948798841
74,337.0,9.919210301752171,10.043870080407554
75,337.5,9.20159520671289,9.213158057923016
76,338.0,9.803181176683323,8.947937651598298
77,338.5,8.99632174664326,9.720054511874093
78,339.0,10.179043228828183,9.533103714070378
79,339.5,9.851643531255693,9.83928620315078
80,340.0,8.796406629667436,9.88194740173265
81,340.5,9.058954858084833,8.90744850574093
82,341.0,9.85513442449106,9.76332995491862
83,341.5,9.475354019105266,9.91730287857779
84,342.0,9.788139350936863,9.083528036807724
85,342.5,9.045881290011977,8.542167039491337
86,343.0,9.625523521787937,8.271689117670164
87,343.5,9.45636460439274,8.560784400759642
88,344.0,8.994021884439773,8.760562139654104
89,344.5,8.476199195587363,9.716783168611716
90,345.0,9.067051577103799,8.600544262403348
91,345.5,8.70101194629485,8.765366838754524
92,346.0,8.359377444589477,10.042371783201085
93,346.5,9.953735935257608,9.492862329702454
94,347.0,9.00183489703258,9.062189771527583
95,347.5,8.201036574889974,9.33814283229238
96,348.0,8.318821262112815,9.614870529980191
97,348.5,7.897151734788741,7.7563656298250105
98,349.0,8.31875577661339,8.421553540540202
99,349.5,7.988114204865431,9.790541920182209
100,350.0,8.154281500612742,9.391631962069969
101,350.5,7.7000987146757005,9.8003925114831
102,351.0,7.540744488722424,9.965709535689665
103,351.5,7.285952145410799,10.432744479389399
104,352.0,7.057943629184828,10.732937327329008
105,352.5,7.609897992386499,11.462833526048534
106,353.0,7.09709818851615,12.137024755038581
107,353.5,7.604806992188672,12.820921372154917
108,354.0,7.520002818476773,15.193525946891832
109,354.5,6.806972623047792,15.665091019571825
110,355.0,7.161533350845163,18.439593098789697
111,355.5,5.852317409453172,20.96096708830962
112,356.0,6.903462602628927,24.840376778611976
113,356.5,6.67369399971621,28.375250123884413
114,357.0,6.873478045807987,33.677987949193614
115,357.5,5.7997897431103915,39.63246221615979
116,358.0,5.982395279311283,46.75426177192102
117,358.5,6.15024216981938,52.33890712286195
118,359.0,5.395722088744251,60.01607713840633
119,359.5,6.23412663947895,65.86562499166945
120,360.0,5.107387423852886,72.07713291731355
121,360.5,5.320306305998771,76.40371176349524
122,361.0,5.455999225148297,77.7096437791306
123,361.5,6.181019511660308,79.05180003405849
124,362.0,4.297112717627443,76.93750022097413
125,362.5,4.390077601632919,72.26158952277453
126,363.0,4.787711571513318,67.35884948801872
127,363.5,4.444898071076102,60.09906545937629
128,364.0,4.351392142978777,53.57993820001755
129,364.5,5.104812525934345,47.896913264705276
130,365.0,4.256941510997755,41.63394577969678
131,365.5,4.1148341782878175,37.209354936492
132,366.0,3.5585248013245683,31.450236567887803
133,366.5,3.052621403691905,26.441625258742285
134,367.0,2.8142579040851734,23.732644595033804
135,367.5,3.075406384496277,20.153127066486963
136,368.0,2.6703255063518005,18.510487610162155
137,368.5,3.7337402143974874,16.896644949502
138,369.0,2.588999662538388,14.926029751373276
139,369.5,3.3112653212388885,13.935209057460995
140,370.0,2.700945810088892,13.067594692935081
141,370.5,1.1031865751249148,11.830688945458752
142,371.0,2.0491341054171937,10.969949253477544
143,371.5,1.3567415257161721,11.492022993092835
144,372.0,0.9911319652632711,10.034762046909053
145,372.5,1.176929587523352,9.638021798466928
146,373.0,0.31832760839436514,8.482805500049519
